Tipo_ensino,Universidade_cod,Universidade_nome,Curso_cod,Curso_nome,Ciclo,Link_detalhe
Público Universitário,0300,Universidade de Aveiro,9196,Línguas e Relações Empresariais,Línguas e Relações Empresariais,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9196&code=0300
Público Universitário,0300,Universidade de Aveiro,9204,"Línguas, Literaturas e Culturas","Línguas, Literaturas e Culturas",https://www.dges.gov.pt/guias/detcursopi.asp?codc=9204&code=0300
Público Universitário,0300,Universidade de Aveiro,9209,Matemática,Matemática,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9209&code=0300
Público Universitário,0300,Universidade de Aveiro,L298,"Meteorologia, Oceanografia e Clima","Meteorologia, Oceanografia e Clima",https://www.dges.gov.pt/guias/detcursopi.asp?codc=L298&code=0300
Público Universitário,0300,Universidade de Aveiro,L254,Multimédia e Tecnologias da Comunicação,Multimédia e Tecnologias da Comunicação,https://www.dges.gov.pt/guias/detcursopi.asp?codc=L254&code=0300
Público Universitário,0300,Universidade de Aveiro,9214,Música,Música,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9214&code=0300
Público Universitário,0300,Universidade de Aveiro,9219,Psicologia,Psicologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9219&code=0300
Público Universitário,0300,Universidade de Aveiro,9223,Química,Química,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9223&code=0300
Público Universitário,0300,Universidade de Aveiro,9252,Tradução,Tradução,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9252&code=0300
Público Universitário,0400,Universidade da Beira Interior,9257,Arquitetura,Arquitetura,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9257&code=0400
Público Universitário,0400,Universidade da Beira Interior,9540,Bioengenharia,Bioengenharia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9540&code=0400
Público Universitário,0400,Universidade da Beira Interior,9015,Bioquímica,Bioquímica,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9015&code=0400
Público Universitário,0400,Universidade da Beira Interior,9016,Biotecnologia,Biotecnologia,https://www.dges.gov.pt/guias/detcursopi.asp?codc=9016&code=0400
